ESTADÍSTICAS 2021,,,,,,,,,,,HISTÓRICO CLUB,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
PLAYER,PJ,PG,PE,PP,GOLES,ASISTENCIAS,AMARILLAS,ROJAS,MVP,,AÑO,PJ,PG,PE,PP,GF,GC,Campeonatos,,,,,
Alvez,10,7,1,2,1,1,1,0,2,,TOTAL,120,61,18,41,341,267,4,,,,,
Anzuatte,24,17,4,3,10,4,6,0,0,,2021,20,12,2,6,97,72,1,,,,,
Blanco,25,17,2,6,3,0,0,0,2,,2022,20,6,2,12,39,60,0,,,,,
Bonilla,13,7,3,3,0,0,0,0,0,,2023,28,16,8,4,60,32,2,,,,,
Cravino,9,6,2,1,5,6,0,0,2,,2024,27,17,4,6,101,51,0,,,,,
Da Silveira,15,8,3,4,0,2,1,0,0,,2025,25,10,2,13,44,52,1,,,,,
Dobal,22,12,3,7,3,7,0,0,3,,2026,1,1,0,0,6,4,0,,,,,
Iza,23,14,3,6,6,0,1,0,3,,,,,,,,,,,,,,
Lorenzo,9,2,1,6,0,0,1,0,0,,,,,,,,,,,,,,
Luzardo,16,10,3,3,2,1,1,1,1,,,,,,,,,,,,,,
Martinez,24,14,3,7,0,0,0,0,2,,,,,,,,,,,,,,
Mateo,27,16,4,7,3,3,1,1,0,,,,,,,,,,,,,,
Menchaca,22,14,3,5,12,3,0,0,3,,HISTÓRICO JUGADORES,,,,,,,,,,,,
Molina,4,3,0,1,0,0,0,0,0,,,,,,,,,,,,,,
Olarte,15,11,2,2,0,0,2,0,1,,,,,,,,,,,,,,
Pedemonte,26,16,4,6,13,10,2,0,3,,PLAYER,PJ,PG,PE,PP,GOLES,ASISTENCIAS,AMARILLAS,ROJAS,MVP,% PG,% PE,%PP
Sparkov,26,16,4,6,38,11,1,0,5,,Alvez,28,10,4,14,2,1,3,0,3,36%,14%,50%
ESTADÍSTICAS 2022,,,,,,,,,,,Anzuatte,62,29,12,21,10,4,15,1,0,47%,19%,34%
,,,,,,,,,,,Balestie,6,2,0,4,2,0,0,2,0,33%,0%,67%
,,,,,,,,,,,Blanco,91,48,15,28,7,6,2,0,6,53%,16%,31%
PLAYER,PJ,PG,PE,PP,GOLES,ASISTENCIAS,AMARILLAS,ROJAS,MVP,,Brito,11,6,1,4,1,0,0,0,0,55%,9%,36%
Alvez,7,2,0,5,0,0,0,0,0,,Bonilla,79,41,14,24,13,6,5,1,0,52%,18%,30%
Anzuatte,18,3,2,13,0,0,5,0,0,,Cravino,17,8,2,7,8,7,0,0,2,47%,12%,41%
Balestie,6,2,0,4,2,0,0,2,0,,Colombo,40,23,4,13,2,0,1,0,0,58%,10%,33%
Blanco,7,2,1,4,0,0,0,0,0,,Da Silveira,41,19,10,13,4,4,7,1,0,46%,24%,32%
Bonilla,6,2,1,3,0,0,0,0,0,,De León,20,7,2,11,0,0,3,1,0,35%,10%,55%
Cravino,8,2,0,6,3,1,0,0,0,,Dobal,17,7,4,6,1,0,3,1,0,41%,24%,35%
Da Silveira,5,2,1,3,0,1,2,0,0,,Fernandez,16,6,2,8,2,0,3,0,0,38%,13%,50%
Dobal,5,1,0,4,0,0,0,0,0,,Flores,56,16,9,11,2,0,2,0,0,29%,16%,20%
Fernandez,16,6,2,8,2,0,3,0,0,,Iza,97,47,16,34,27,6,11,4,4,48%,16%,35%
Iza,18,5,1,12,7,2,0,0,1,,Lorenzo,14,4,2,8,1,0,1,0,0,29%,14%,57%
Martinez,20,5,1,14,1,0,1,0,0,,Luzardo,16,10,3,3,2,1,1,1,1,63%,19%,19%
Mateo,21,6,2,13,0,0,0,0,0,,Martinez,110,53,16,41,2,3,5,2,3,48%,15%,37%
Menchaca,13,4,1,8,4,1,0,0,0,,Mari,17,7,1,9,2,2,2,0,1,41%,6%,53%
Molina,6,1,1,4,1,0,0,0,0,,Mateo,75,36,13,24,4,8,1,2,0,48%,17%,32%
Olarte,13,4,0,9,1,0,0,0,0,,Menchaca,98,50,16,29,41,8,3,0,8,51%,16%,30%
Pedemonte,7,2,1,4,2,0,2,0,0,,Molina,24,10,1,13,1,0,2,0,2,42%,4%,54%
Sparkov,15,4,2,9,14,0,1,0,0,,Olarte,45,19,5,21,2,0,3,0,2,42%,11%,47%
Valle,9,2,1,6,0,0,0,0,0,,Pedemonte,89,47,15,27,38,20,19,2,10,53%,17%,30%
Vigil,5,2,0,3,0,0,0,0,1,,Rocca,4,3,0,1,0,0,0,0,0,75%,0%,25%
Luzardo,6,0,1,5,1,0,0,0,0,,Rodríguez,22,15,3,4,7,0,2,0,0,68%,14%,18%
Silva,,,,,,,,,,,Silva,37,22,8,7,0,1,9,3,0,59%,22%,19%
ESTADÍSTICAS 2023,,,,,,,,,,,"Silva, Gastón",3,1,0,2,0,0,0,0,0,33%,0%,67%
,,,,,,,,,,,Sparkov,104,53,20,31,131,22,7,1,5,51%,19%,30%
,,,,,,,,,,,Valle,9,2,1,6,0,0,0,0,0,22%,11%,67%
PLAYER,PJ,PG,PE,PP,GOLES,ASISTENCIAS,AMARILLAS,ROJAS,MVP,,Vigil,5,2,0,3,0,0,0,0,1,40%,0%,60%
Alvez,6,1,3,2,1,0,1,0,0,,,,,,,,,,,,,,
Anzuatte,14,6,5,3,0,0,4,1,0,,,,,,,,,,,,,,
Blanco,21,10,7,4,0,0,0,0,0,,,,,,,,,,,,,,
Bonilla,17,9,5,3,0,2,0,0,0,,,,,,,,,,,,,,
Da Silveira,19,9,6,4,3,1,4,1,0,,,,,,,,,,,,,,
Dobal,12,6,4,2,1,0,3,1,0,,,,,,,,,,,,,,
Flores,22,12,7,3,1,0,2,0,0,,,,,,,,,,,,,,
Iza,24,12,8,4,7,1,5,1,0,,,,,,,,,,,,,,
Lorenzo,5,2,1,2,1,0,0,0,0,,,,,,,,,,,,,,
Martinez,25,14,7,4,1,1,0,0,0,,,,,,,,,,,,,,
Mateo,14,7,5,2,0,5,0,0,0,,,,,,,,,,,,,,
Menchaca,25,13,7,2,6,3,0,0,0,,,,,,,,,,,,,,
Pedemonte,23,14,6,3,15,7,8,2,0,,,,,,,,,,,,,,
Silva,18,10,4,4,0,1,8,3,0,,,,,,,,,,,,,,
Sparkov,24,12,8,4,22,5,2,1,0,,,,,,,,,,,,,,
Colombo,6,5,0,1,0,0,0,0,0,,,,,,,,,,,,,,
Molina,4,3,0,1,0,0,0,0,0,,,,,,,,,,,,,,
ESTADÍSTICAS 2024,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
PLAYER,PJ,PG,PE,PP,GOLES,ASISTENCIAS,AMARILLAS,ROJAS,MVP,,,,,,,,,,,,,,
Anzuatte,6,3,1,2,0,0,0,0,0,,,,,,,,,,,,,,
Blanco,19,13,3,3,1,0,0,0,0,,,,,,,,,,,,,,
Bonilla,23,16,3,4,8,0,2,0,0,,,,,,,,,,,,,,
Brito,11,6,1,4,1,0,0,0,0,,,,,,,,,,,,,,
Colombo,21,14,3,4,1,0,1,0,0,,,,,,,,,,,,,,
da Silveira,2,0,0,2,1,0,0,0,0,,,,,,,,,,,,,,
Flores,22,15,3,4,1,0,2,0,0,,,,,,,,,,,,,,
Iza,14,10,3,1,4,0,3,2,0,,,,,,,,,,,,,,
Martínez,20,13,3,4,0,0,1,1,0,,,,,,,,,,,,,,
Mateo ,10,7,1,2,1,0,0,1,0,,,,,,,,,,,,,,
Menchaca,22,14,4,4,17,0,2,0,0,,,,,,,,,,,,,,
Molina,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
Olarte,5,1,2,2,0,0,1,0,0,,,,,,,,,,,,,,
Pedemonte,12,8,2,2,2,0,2,0,0,,,,,,,,,,,,,,
Rodríguez ,22,15,3,4,7,0,2,0,0,,,,,,,,,,,,,,
Silva,19,12,4,3,0,0,1,0,0,,,,,,,,,,,,,,
Sparkov,22,15,4,3,39,0,1,0,0,,,,,,,,,,,,,,
ESTADÍSTICAS 2025,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
PLAYER,PJ,PG,PE,PP,GOLES,ASISTENCIAS,AMARILLAS,ROJAS,MVP,,,,,,,,,,,,,,
Alvez,5,0,0,5,0,0,1,0,1,,,,,,,,,,,,,,
Blanco,19,6,2,11,3,6,2,0,4,,,,,,,,,,,,,,
Bonilla,20,7,2,11,5,4,3,1,0,,,,,,,,,,,,,,
Colombo,13,4,1,8,1,0,0,0,0,,,,,,,,,,,,,,
de León,20,7,2,11,0,0,3,1,0,,,,,,,,,,,,,,
Flores,12,4,2,6,0,0,0,0,0,,,,,,,,,,,,,,
Iza,18,6,1,11,3,3,2,1,0,,,,,,,,,,,,,,
Mari,17,7,1,9,2,2,2,0,1,,,,,,,,,,,,,,
Martínez,21,7,2,12,0,2,3,1,1,,,,,,,,,,,,,,
Mateo,3,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,
Menchaca,16,5,1,10,2,1,1,0,5,,,,,,,,,,,,,,
Molina,9,3,0,6,0,0,2,0,2,,,,,,,,,,,,,,
Olarte,12,3,1,8,1,0,0,0,1,,,,,,,,,,,,,,
Pedemonte,21,7,2,12,6,3,5,0,7,,,,,,,,,,,,,,
Sparkov,17,6,2,9,18,6,2,0,0,,,,,,,,,,,,,,
ESTADÍSTICAS 2026,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
PLAYER,PJ,PG,PE,PP,GOLES,ASISTENCIAS,AMARILLAS,ROJAS,MVP,,,,,,,,,,,,,,
Anzuatte,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Blanco,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Bonilla,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Colombo,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
de León,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Flores,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Iza,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Mari,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Martínez,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Mateo,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Menchaca,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Molina,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Olarte,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Pedemonte,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Sparkov,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,